Release Date,Model,Family,Discontinued
"March 19, 2019","iMac(Retina 4K, 21.5-inch, 2019)",iMac,"April 20, 2021"
"March 20, 2019",AirPods(2nd generation),Headphones,"September 9, 2024"
"May 21, 2019","MacBook Pro(13-inch, 2019, Four Thunderbolt 3 ports)",MacBook Pro,"May 4, 2020"
"May 28, 2019",iPod Touch (7th generation),iPod Touch,"May 10, 2022"
"July 9, 2019","MacBook Air(Retina, 13-inch, 2019)",MacBook Air,"March 18, 2020"
"August 20, 2019",Apple Card,iPhone accessories,current
"September 20, 2019",Apple Watch Series 5,Apple Watch,"September 15, 2020"
"September 25, 2019",iPad (7th generation),iPad,"September 15, 2020"
"October 30, 2019",AirPods Pro,Headphones,"September 7, 2022"
"November 13, 2019","MacBook Pro(16-inch, 2019)",MacBook Pro,"October 18, 2021"
"December 10, 2019",Mac Pro (2019),Mac Pro,"June 5, 2023"
"March 18, 2020",iPad Pro(11-inch) (2nd generation),iPad,"April 20, 2021"
"April 24, 2020",iPhone SE (2nd generation),iPhone,"March 8, 2022"
"May 4, 2020","MacBook Pro(13-inch, 2020, Four Thunderbolt 3 ports)",MacBook Pro,"October 18, 2021"
"August 4, 2020","iMac(Retina 5K, 27-inch, 2020)",iMac,"March 8, 2022"
"September 18, 2020",Apple Watch Series 6,Apple Watch,"October 8, 2021"
"October 23, 2020",iPad Air (4th generation),iPad,"March 8, 2022"
"November 13, 2020",iPhone 12 Mini,iPhone,"September 7, 2022"
"November 16, 2020",HomePod Mini(white and space gray),Speakers,"current (white)July 15, 2024 (space gray)"
"November 17, 2020","Mac Mini(M1, 2020)",Mac Mini,"January 17, 2023"
"December 15, 2020",AirPods Max(Lightning),Headphones,"September 9, 2024"
"April 30, 2021",AirTag,iPhone accessories,current
"May 21, 2021",Apple TV 4K(2nd generation),Apple TV,"October 18, 2022"
"July 13, 2021",MagSafe Battery Pack,iPhone accessories,"September 12, 2023"
"September 24, 2021",iPad (9th generation),iPad,"May 7, 2024"
"October 8, 2021",Apple Watch Series 7,Apple Watch,"September 7, 2022"
"October 26, 2021",AirPods(3rd generation),Headphones,"September 9, 2024"
"March 18, 2022",Apple Studio Display,Displays,current
"June 24, 2022","MacBook Pro(13-inch, M2, 2022)",MacBook Pro,"October 30, 2023"
"July 15, 2022","MacBook Air(13-inch, M2, 2022)",MacBook Air,current
"September 16, 2022",Apple Watch Series 8,Apple Watch,"September 12, 2023"
"September 23, 2022","AirPods Pro(2nd generation, Lightning case)",Headphones,"September 12, 2023"
"October 7, 2022",iPhone 14 Plus,iPhone,"February 19, 2025"
"October 26, 2022",iPad (10th generation),iPad,current
"November 4, 2022",Apple TV 4K(3rd generation),Apple TV,current
"January 24, 2023","Mac Mini(M2/M2 Pro, 2023)",Mac Mini,"October 29, 2024"
"February 3, 2023",HomePod (2nd generation),Speakers,current
"June 13, 2023","Mac Studio(M2 Max/M2 Ultra, 2023)",Mac Studio,current
"September 22, 2023",Apple Watch Series 9,Apple Watch,"September 9, 2024"
"November 1, 2023",Apple Pencil(USB-C),iPad,current
"November 7, 2023","iMac(24-inch, M3, 2023)",iMac,"October 28, 2024"
"February 2, 2024",Apple Vision Pro,Apple Vision Pro,current
"March 8, 2024",MacBook Air13-in. (M3),MacBook Air,current
"May 15, 2024",Apple Pencil Pro,iPad,current
"July 15, 2024",HomePod Mini(midnight),Speakers,current
"September 9, 2024",MagSafe Charger(25 W),iPhone accessories,current
"September 20, 2024",AirPods(4th generation),Headphones,current
"October 23, 2024",iPad mini (A17 Pro),iPad,current
"October 28, 2024",Magic Mouse 2 (USB-C),Pointing devices,current
"November 8, 2024","iMac(24-inch, M4, 2024)",iMac,current
"February 28, 2025",iPhone 16e,iPhone,current
